Hora, username, order_id, mercado, amount, price, tipo
21:32, ofvera, 8, KAMSIM, 45.3, 178.0, bid
21:32, ofvera, 47, KAMRIN, 280.0, 87.3, bid
21:32, ofvera, 46, KAMWUB, 40.0, 150.4, bid
21:32, ofvera, 26, KAMRUP, 19.3, 206.2, bid
21:32, ofvera, 13, KAMBAN, 290.7, 163.2, ask
21:32, ofvera, 55, SIMKAM, 188.6, 182.7, ask
21:32, ofvera, 61, SIMWUB, 151.1, 156.8, bid
21:32, ofvera, 0, SIMRUP, 287.0, 189.3, bid
21:32, ofvera, 45, SIMRUP, 247.0, 31.7, bid
21:32, ofvera, 56, SIMRUP, 23.6, 111.3, bid
21:32, ofvera, 88, SIMBAN, 233.9, 180.7, ask
21:32, ofvera, 17, RINKAM, 110.4, 78.8, bid
21:32, ofvera, 9, RINWUB, 72.9, 82.6, ask
21:32, ofvera, 32, RINNEC, 8.2, 204.9, bid
21:32, ofvera, 33, RINNEC, 4.7, 238.8, bid
21:32, ofvera, 25, RINBAN, 17.4, 37.1, ask
21:32, ofvera, 5, WUBKAM, 71.6, 189.9, ask
21:32, ofvera, 97, WUBKAM, 51.7, 232.8, ask
21:32, ofvera, 57, WUBKAM, 209.1, 144.4, bid
21:32, ofvera, 72, WUBRIN, 27.2, 293.9, ask
21:32, ofvera, 91, WUBNEC, 212.7, 93.7, bid
21:32, ofvera, 71, WUBBAN, 152.4, 215.7, ask
21:32, ofvera, 70, WUBBAN, 123.7, 211.3, bid
21:32, ofvera, 58, NECKAM, 258.4, 19.3, bid
21:32, ofvera, 98, RUPWUB, 164.5, 87.1, bid
21:32, ofvera, 74, RUPNEC, 114.0, 89.9, ask
21:32, ofvera, 81, BANSIM, 284.6, 99.0, bid
21:32, ofvera, 75, BANRIN, 234.4, 249.8, ask
21:32, ofvera, 99, BANRIN, 92.4, 107.0, ask
21:32, ofvera, 16, BANNEC, 115.1, 248.4, ask
21:32, ofvera, 40, BANNEC, 268.8, 275.1, ask
21:32, ofvera, 100, BANNEC, 71.2, 18.9, ask
21:32, ofvera, 73, BANRUP, 67.5, 110.3, ask
09:51, ofvera, 63, KAMRUP, 2.2, 224.0, bid
09:51, ofvera, 53, KAMBAN, 4.0, 157.8, ask
09:51, ofvera, 58, KAMBAN, 9.5, 275.1, ask
09:51, ofvera, 100, SIMKAM, 196.1, 90.5, ask
09:51, ofvera, 31, SIMRIN, 131.3, 298.6, ask
09:51, ofvera, 54, SIMWUB, 110.4, 169.0, ask
09:51, ofvera, 40, SIMRUP, 123.4, 192.1, ask
09:51, ofvera, 99, SIMRUP, 215.7, 296.0, ask
09:51, ofvera, 4, RINKAM, 155.0, 251.0, bid
09:51, ofvera, 34, RINKAM, 52.2, 105.8, bid
09:51, ofvera, 41, RINKAM, 90.3, 145.3, bid
